ID_MAGALU;KIT_EXTRA
155468;true
181639;true
10606;true
217354;true
10330;true
183736;true
111484;true
251735;true
242300;true
114327;true
241545;true
117828;true
222845;true
249677;true
141262;true
233212;true
248693;true
251243;true
251565;true
175497;true
216437;true
153615;true
95139;true
141072;true
130575;true
140567;true
127823;true
198013;true
121687;true
204297;true
216740;true
224447;true
216775;true
228943;true
210499;true
217271;true
206746;true
216458;true
239121;true
152408;true
127313;true
202106;true
148492;true
238814;true
149580;true
139098;true
215286;true
202035;true
164901;true
237768;true
160676;true
195582;true
225656;true
226995;true
300299;true
117135;true
100883;true
175584;true
128313;true
239106;true
223223;true
254241;true
237295;true
179089;true
167584;true
211757;true
167561;true
200415;true
224186;true
168047;true
173557;true
227565;true
244936;true
212639;true
169152;true
208775;true
254132;true
175560;true
177431;true
157648;true
217706;true
178920;true
183737;true
223697;true
167514;true
196684;true
227145;true
200801;true
323541;true
301482;true
167606;true
158541;true
158684;true
394274;true
158554;true
210272;true
131243;true
222836;true
235605;true
158628;true
191184;true
158623;true
204387;true
223628;true
169674;true
252381;true
217951;true
236491;true
217158;true
216952;true
159820;true
269953;true
156473;true
226116;true
256033;true
191011;true
174018;true
215927;true
204182;true
167670;true
308421;true
158803;true
222510;true
183791;true
204144;true
158781;true
272373;true
168355;true
206179;true
212460;true
268096;true
169921;true
162165;true
173136;true
168356;true
217050;true
228538;true
184080;true
167525;true
286109;true
167663;true
156631;true
173883;true
222716;true
212905;true
295146;true
163265;true
197589;true
326804;true
173749;true
231851;true
181545;true
276895;true
271853;true
221348;true
182686;true
162737;true
216044;true
245081;true
195132;true
273752;true
221959;true
93679;true
215134;true
343536;true
122397;true
117323;true
190246;true
100807;true
240192;true
152609;true
243293;true
117992;true
186925;true
105152;true
94166;true
164603;true
175551;true
253080;true
224895;true
230584;true
165134;true
150869;true
280650;true
96123;true
224218;true
248117;true
123583;true
101670;true
248732;true
99212;true
259175;true
240721;true
110354;true
313;true
247118;true
107626;true
225839;true
130610;true
192661;true
194848;true
206851;true
223480;true
107037;true
266577;true
171146;true
189347;true
211335;true
254027;true
256790;true
225290;true
242643;true
266113;true
173122;true
261643;true
217123;true
305701;true
247583;true
237241;true
240300;true
244383;true
287555;true
254200;true
216371;true
238283;true
241741;true
246443;true
173277;true
180646;true
243775;true
273099;true
239151;true
265979;true
246217;true
260930;true
263404;true
338781;true
232246;true
169139;true
262293;true
247185;true
261499;true
262727;true
321623;true
262669;true
262722;true
291352;true
271989;true
208948;true
169748;true
261726;true
225664;true
263008;true
264713;true
263019;true
188122;true
269599;true
194383;true
262490;true
170154;true
230627;true
226338;true
